Код_товара,Код_категории
00-00008549,11395
00-00009248,11395
00-00009249,11395
00-00009250,11395
00-00009251,11395
00-00009252,11395
00-00009253,11395
00-00009738,11395
00-00010600,11395
00-00020816,11395
00-00020817,11395
00-00020818,11395
00-00020819,11395
00-00020820,11395
00-00020821,11395
00-00020822,11395
00-00020823,11395
00-00020824,11395
00-00020825,11395
00-00020826,11395
00-00020827,11395
00-00020828,11395
00-00020829,11395
00-00020830,11395
00-00020831,11395
00-00020832,11395
00-00020833,11395
00-00020834,11395
00-00020835,11395
00-00020836,11395
00-00020837,11395
00-00020838,11395
00-00020839,11395
00-00020840,11395
00-00020841,11395
00-00020842,11395
00-00020843,11395
00-00020844,11395
00-00020846,11395
00-00020848,11395
00-00020849,11395
00-00020852,11395
00-00020854,11395
00-00020855,11395
00-00020856,11395
00-00020857,11395
00-00020858,11395
00-00020860,11395
00-00020861,11395
00-00020864,11395
00-00020872,11395
00-00020873,11395
00-00020874,11395
00-00020875,11395
00-00020876,11395
00-00020877,11395
00-00020878,11395
00-00020879,11395
00-00020880,11395
00-00020881,11395
00-00020882,11395
00-00020883,11395
00-00020884,11395
00-00020885,11395
00-00020886,11395
00-00020887,11395
00-00020888,11395
00-00020889,11395
00-00020890,11395
00-00020891,11395
00-00020892,11395
00-00020893,11395
00-00020894,11395
00-00020895,11395
00-00020896,11395
00-00020897,11395
00-00020898,11395
00-00020899,11395
00-00020900,11395
00-00020901,11395
00-00020902,11395
00-00020903,11395
00-00020904,11395
00-00022475,11395
00-00023835,11395
00-00023836,11395
00-00023837,11395
00-00023838,11395
00-00023839,11395
00-00023840,11395
00-00023841,11395
00-00023842,11395
00-00023843,11395
00-00024386,11395
00-00024410,11395
00-00024684,11395
00-00024685,11395
00-00024686,11395
00-00026557,11395
00-00026558,11395
00-00027467,11395
00-00027766,11395
00-00027767,11395
00-00027768,11395
00-00027769,11395
00-00027770,11395
00-00027771,11395
00-00027847,11395
00-00027848,11395
00-00027849,11395
00-00027850,11395
00-00027908,11395
00-00027909,11395
00-00027910,11395
00-00027911,11395
00-00027912,11395
00-00027913,11395
00-00027914,11395
00-00027915,11395
00-00027916,11395
00-00027917,11395
00-00027918,11395
12275,11395
00-00010748,12275
00-00010749,12275
00-00027092,12275
00-00007405,16307
00-00007917,16307
00-00007918,16307
00-00008186,16307
00-00008284,16307
00-00008285,16307
00-00008888,16307
00-00009204,16307
00-00009729,16307
00-00009730,16307
00-00010498,16307
00-00010732,16307
00-00010733,16307
00-00010734,16307
00-00010735,16307
00-00010740,16307
00-00010741,16307
00-00010742,16307
00-00010743,16307
