Year ;менеджер длЯ теста;ЊесЯц_год;Џлан Њаржи
2023;менеджер 1;апр.23;1825
2023;менеджер 1;май.23;1250
2023;менеджер 1;июн.23;721
2023;менеджер 1;июл.23;585
2023;менеджер 1;сен.23;849
2023;менеджер 10;Янв.23;2668
2023;менеджер 10;фев.23;5407
2023;менеджер 10;мар.23;8711
2023;менеджер 10;апр.23;10951
2023;менеджер 10;май.23;7502
2023;менеджер 10;июн.23;4326
2023;менеджер 10;июл.23;3512
2023;менеджер 10;авг.23;3621
2023;менеджер 10;сен.23;5093
2023;менеджер 10;окт.23;4413
2023;менеджер 10;ноЯ.23;2480
2023;менеджер 10;дек.23;2057
2023;менеджер 12;Янв.23;3113
2023;менеджер 12;фев.23;6308
2023;менеджер 12;мар.23;10163
2023;менеджер 12;апр.23;12776
2023;менеджер 12;май.23;8752
2023;менеджер 12;июн.23;5047
2023;менеджер 12;июл.23;4097
2023;менеджер 12;авг.23;4224
2023;менеджер 12;сен.23;5942
2023;менеджер 12;окт.23;5148
2023;менеджер 12;ноЯ.23;2894
2023;менеджер 12;дек.23;2400
2023;менеджер 3;Янв.23;4447
2023;менеджер 3;фев.23;9011
2023;менеджер 3;мар.23;14518
2023;менеджер 3;апр.23;18252
2023;менеджер 3;май.23;12503
2023;менеджер 3;июн.23;7210
2023;менеджер 3;июл.23;5853
2023;менеджер 3;авг.23;6035
2023;менеджер 3;сен.23;8489
2023;менеджер 3;окт.23;7354
2023;менеджер 3;ноЯ.23;4134
2023;менеджер 3;дек.23;3428
2023;менеджер 4;Янв.23;3558
2023;менеджер 4;фев.23;7209
2023;менеджер 4;мар.23;11615
2023;менеджер 4;апр.23;14601
2023;менеджер 4;май.23;10003
2023;менеджер 4;июн.23;5768
2023;менеджер 4;июл.23;4683
2023;менеджер 4;авг.23;4828
2023;менеджер 4;сен.23;6791
2023;менеджер 4;окт.23;5883
2023;менеджер 4;ноЯ.23;3307
2023;менеджер 4;дек.23;2742
2023;менеджер 6;Янв.23;296
2023;менеджер 6;фев.23;601
2023;менеджер 6;мар.23;968
2023;менеджер 6;апр.23;1217
2023;менеджер 6;май.23;834
2023;менеджер 6;июн.23;481
2023;менеджер 6;июл.23;390
2023;менеджер 6;авг.23;402
2023;менеджер 6;сен.23;566
2023;менеджер 6;окт.23;490
2023;менеджер 6;ноЯ.23;276
2023;менеджер 6;дек.23;229
2023;менеджер 7;Янв.23;8153
2023;менеджер 7;фев.23;16520
2023;менеджер 7;мар.23;26617
2023;менеджер 7;апр.23;33461
2023;менеджер 7;май.23;22923
2023;менеджер 7;июн.23;13219
2023;менеджер 7;июл.23;10731
2023;менеджер 7;авг.23;11064
2023;менеджер 7;сен.23;15563
2023;менеджер 7;окт.23;13483
2023;менеджер 7;ноЯ.23;7579
2023;менеджер 7;дек.23;6285
2023;менеджер 8;Янв.23;6967
2023;менеджер 8;фев.23;14117
2023;менеджер 8;мар.23;22746
2023;менеджер 8;апр.23;28594
2023;менеджер 8;май.23;19588
2023;менеджер 8;июн.23;11296
2023;менеджер 8;июл.23;9170
2023;менеджер 8;авг.23;9455
2023;менеджер 8;сен.23;13299
2023;менеджер 8;окт.23;11522
2023;менеджер 8;ноЯ.23;6477
2023;менеджер 8;дек.23;5371
